,START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,hour,day_of_week,is_weekend,is_rush_hour,TEMPERATURE,IS_DAY,RAIN,SNOWFALL,SHOWERS,WEATHER_CODE,WIND_SPEED_10M,WIND_GUSTS_10M,TEMP_WIND,WEATHER_STRESS
109,2016-11-23 15:34:00,2016-11-23 15:50:00,Business,Cary,Cary,5.9,Meal/Entertain,15,2,False,False,48.8,1.0,0.0,0.0,0.0,3.0,6.8,17.6,331.84,76.19999999999999
110,2016-11-23 16:18:00,2016-11-23 16:29:00,Business,Cary,Cary,1.9,NO_DATA,16,2,False,True,47.6,1.0,0.0,0.0,0.0,3.0,6.4,17.3,304.64000000000004,74.3
111,2016-11-23 16:49:00,2016-11-23 17:00:00,Business,Cary,Cary,3.3,NO_DATA,16,2,False,True,47.6,1.0,0.0,0.0,0.0,3.0,6.4,17.3,304.64000000000004,74.3
112,2016-11-23 18:37:00,2016-11-23 18:47:00,Business,Cary,Cary,1.3,NO_DATA,18,2,False,True,40.9,0.0,0.0,0.0,0.0,3.0,8.4,14.0,343.56,66.3
113,2016-11-26 15:54:00,2016-11-26 15:59:00,Business,Cary,Cary,1.4,NO_DATA,15,5,False,False,45.7,1.0,0.0,0.0,0.0,0.0,15.5,38.2,708.35,99.4
114,2016-11-26 19:47:00,2016-11-26 19:54:00,Business,Cary,Cary,2.5,Errand/Supplies,19,5,False,False,38.9,0.0,0.0,0.0,0.0,0.0,11.4,22.0,443.46,72.3
115,2016-12-01 07:44:00,2016-12-01 07:59:00,Business,Cary,Cary,5.5,Meeting,7,3,False,True,51.6,0.0,0.0,0.0,0.0,0.0,10.8,24.8,557.2800000000001,87.2
116,2016-12-01 08:37:00,2016-12-01 08:53:00,Business,Cary,Cary,5.5,Errand/Supplies,8,3,False,True,50.2,1.0,0.0,0.0,0.0,0.0,10.8,23.0,542.1600000000001,84.0
117,2016-12-05 18:04:00,2016-12-05 18:17:00,Business,Cary,Cary,4.1,NO_DATA,18,0,False,True,47.6,0.0,0.0,0.0,0.0,3.0,8.4,13.7,399.84000000000003,72.7
118,2016-12-05 19:22:00,2016-12-05 19:37:00,Business,Cary,Cary,3.8,Meal/Entertain,19,0,False,False,47.0,0.0,0.0,0.0,0.0,3.0,7.8,14.0,366.59999999999997,71.8
119,2016-12-07 12:03:00,2016-12-07 12:32:00,Business,Cary,Cary,6.6,Meeting,12,2,False,False,49.2,1.0,0.0,0.0,0.0,0.0,6.5,28.4,319.8,84.1
120,2016-12-07 12:35:00,2016-12-07 12:46:00,Business,Cary,Cary,4.0,Meeting,12,2,False,False,49.2,1.0,0.0,0.0,0.0,0.0,6.5,28.4,319.8,84.1
121,2016-12-07 19:53:00,2016-12-07 20:13:00,Business,Cary,Cary,7.0,Customer Visit,19,2,False,False,44.0,0.0,0.0,0.0,0.0,2.0,5.8,8.6,255.2,60.4
122,2016-12-07 21:13:00,2016-12-07 21:50:00,Business,Cary,Cary,6.9,Meal/Entertain,21,2,False,False,41.2,0.0,0.0,0.0,0.0,2.0,6.7,11.5,276.04,61.400000000000006
123,2016-12-08 14:19:00,2016-12-08 14:32:00,Business,Cary,Cary,3.4,Errand/Supplies,14,3,False,False,41.9,1.0,0.0,0.0,0.0,2.0,14.5,32.4,607.55,90.8
124,2016-12-08 14:53:00,2016-12-08 15:02:00,Business,Cary,Cary,3.4,Errand/Supplies,14,3,False,False,41.9,1.0,0.0,0.0,0.0,2.0,14.5,32.4,607.55,90.8
125,2016-12-08 19:22:00,2016-12-08 19:27:00,Business,Cary,Cary,2.0,Meeting,19,3,False,False,35.0,0.0,0.0,0.0,0.0,2.0,11.6,24.5,406.0,73.1
126,2016-12-08 21:26:00,2016-12-08 21:31:00,Business,Cary,Cary,2.0,Errand/Supplies,21,3,False,False,32.3,0.0,0.0,0.0,0.0,0.0,11.1,23.0,358.53,66.4
127,2016-12-09 20:11:00,2016-12-09 20:34:00,Business,Cary,Cary,5.6,Meeting,20,4,False,False,24.6,0.0,0.0,0.0,0.0,0.0,8.3,15.1,204.18000000000004,48.00000000000001
